84	1.916	0.080	0.683	0.785
108	0.994	0.141	0.824	0.893
28	2.969	0.046	0.560	0.778
46	2.758	0.045	0.523	0.613
37	3.214	0.033	0.514	0.514
89	1.377	0.107	0.848	0.795
71	2.599	0.069	0.755	0.826
45	3.218	0.083	0.459	0.662
51	4.664	0.056	0.415	0.526
67	1.627	0.075	0.728	0.827
65	3.502	0.057	0.414	0.492
25	4.821	0.021	0.102	0.236
42	3.144	0.100	0.519	0.656
121	0.922	0.114	0.871	0.852
90	2.609	0.091	0.506	0.667
81	4.870	0.071	0.506	0.723
89	3.679	0.070	0.406	0.610
86	2.702	0.077	0.558	0.688
71	3.126	0.065	0.392	0.597
114	2.068	0.126	0.832	0.891
87	3.271	0.090	0.481	0.604
77	2.819	0.067	0.487	0.740
52	2.333	0.053	0.505	0.642
19	7.799	0.030	0.365	0.543
73	3.107	0.087	0.695	0.890
123	0.876	0.134	0.872	0.904
20	4.864	0.024	0.137	0.225
97	2.065	0.102	0.770	0.802
61	4.780	0.065	0.488	0.587
121	1.537	0.115	0.840	0.818
59	3.486	0.057	0.522	0.634
49	3.710	0.045	0.430	0.480
56	3.247	0.052	0.412	0.523
99	3.135	0.103	0.579	0.647
51	1.559	0.090	0.761	0.911
44	3.295	0.049	0.454	0.537
64	1.921	0.064	0.667	0.688
69	1.969	0.070	0.676	0.697
116	1.204	0.113	0.823	0.853
139	1.265	0.141	0.794	0.837
52	4.138	0.062	0.591	0.642
113	1.759	0.119	0.837	0.825
49	3.350	0.043	0.322	0.598
46	3.798	0.044	0.359	0.489
74	2.522	0.096	0.569	0.685
116	0.951	0.149	0.853	0.943
76	2.724	0.063	0.528	0.667
32	3.091	0.058	0.485	0.681
53	2.166	0.079	0.679	0.779
50	4.142	0.054	0.225	0.410
121	3.368	0.112	0.766	0.761
107	0.885	0.099	0.863	0.915
58	3.614	0.128	0.829	0.829
68	2.409	0.074	0.660	0.694
42	3.633	0.066	0.275	0.488
79	1.720	0.072	0.648	0.718
56	3.603	0.055	0.479	0.566
39	2.956	0.050	0.513	0.591
11	5.632	0.014	0.297	0.379
99	2.226	0.093	0.660	0.832
43	3.751	0.057	0.316	0.524
53	1.700	0.070	0.697	0.883
55	3.310	0.075	0.679	0.797
43	4.406	0.041	0.236	0.361
76	3.408	0.077	0.415	0.691
38	2.101	0.047	0.623	0.745
28	4.596	0.050	0.127	0.412
66	1.566	0.088	0.717	0.750
86	1.127	0.119	0.782	0.827
17	5.050	0.017	0.309	0.362
25	5.531	0.036	0.275	0.439
84	1.478	0.085	0.712	0.875
38	4.319	0.051	0.392	0.603
64	3.128	0.074	0.504	0.634
102	1.760	0.095	0.718	0.843
46	3.971	0.046	0.284	0.362
39	3.053	0.038	0.629	0.600
55	2.585	0.059	0.451	0.679
