11	7.712	0.079	0.524	0.733
5	5.480	0.051	0.417	0.500
6	10.378	0.040	0.462	0.429
16	11.372	0.093	0.516	0.593
16	3.667	0.089	0.696	0.800
17	3.257	0.116	0.773	0.944
7	9.074	0.040	0.350	0.438
24	1.361	0.137	0.857	0.857
22	2.357	0.122	0.733	0.759
21	1.568	0.164	0.875	0.955
7	3.729	0.048	0.389	0.583
13	1.923	0.101	0.684	0.765
7	8.127	0.040	0.438	0.700
11	2.574	0.099	0.733	0.688
22	2.604	0.059	0.688	0.759
11	12.575	0.064	0.611	0.611
9	2.774	0.087	0.563	0.692
25	4.435	0.171	0.893	0.893
18	3.315	0.117	0.545	0.667
18	2.004	0.136	1.000	0.818
16	9.406	0.140	0.800	0.800
18	5.068	0.180	0.857	0.783
9	3.043	0.068	0.563	0.643
10	4.471	0.083	0.667	0.769
11	2.788	0.104	0.647	0.688
21	2.572	0.183	0.808	0.840
9	2.238	0.073	0.643	0.600
16	1.893	0.162	0.941	0.889
9	7.000	0.067	0.529	0.643
23	2.295	0.106	0.767	0.793
5	3.407	0.029	0.313	0.500
11	4.565	0.065	0.611	0.688
16	2.231	0.158	0.941	0.842
11	1.552	0.043	0.846	0.917
11	1.759	0.035	0.688	0.688
8	3.922	0.036	0.320	0.615
24	6.063	0.139	0.774	0.774
8	2.013	0.026	0.615	0.727
22	2.121	0.129	0.733	0.846
26	2.133	0.062	0.684	0.813
5	3.625	0.025	0.238	0.357
11	5.166	0.046	0.344	0.458
20	2.027	0.091	0.833	1.000
31	2.456	0.097	0.554	0.721
10	5.531	0.034	0.385	0.625
39	2.181	0.095	0.736	0.765
7	6.139	0.024	0.467	0.583
25	2.961	0.126	0.758	0.806
6	5.754	0.027	0.333	0.462
10	3.676	0.056	0.400	0.476
22	2.219	0.084	0.524	0.815
33	1.527	0.110	0.825	0.805
23	2.162	0.082	0.719	0.920
11	6.813	0.037	0.688	0.611
22	2.421	0.113	0.880	0.846
32	4.877	0.133	0.681	0.762
35	2.115	0.151	0.854	0.897
30	2.817	0.117	0.833	0.857
31	2.957	0.132	0.646	0.816
8	6.075	0.046	0.615	0.727
8	5.145	0.030	0.333	0.364
18	3.015	0.069	0.692	0.947
13	3.280	0.083	0.591	0.722
22	2.047	0.089	0.846	0.815
17	2.071	0.099	0.850	0.810
11	2.747	0.045	0.733	0.733
25	2.705	0.116	0.758	0.862
37	1.934	0.101	0.804	0.860
14	2.380	0.048	0.636	0.778
21	2.656	0.069	0.568	0.840
16	4.732	0.147	0.696	0.842
36	1.315	0.089	0.947	0.900
30	1.308	0.130	0.811	0.811
13	5.114	0.039	0.464	0.684
45	2.185	0.207	0.833	0.978
25	1.359	0.094	0.926	0.862
27	5.012	0.098	0.443	0.628
16	4.030	0.069	0.842	0.889
16	3.116	0.075	0.500	0.696
26	0.970	0.112	0.929	0.929
26	2.698	0.072	0.605	0.703
41	1.496	0.105	0.788	0.788
5	3.263	0.028	0.313	0.385
20	4.485	0.057	0.526	0.769
5	5.530	0.018	0.200	0.185
25	1.906	0.065	0.714	0.926
18	0.450	0.146	0.900	0.947
18	0.621	0.138	0.947	0.947
24	2.576	0.080	0.828	0.490
33	4.848	0.111	0.623	0.717
20	2.993	0.109	0.690	0.909
14	1.311	0.092	0.933	1.000
16	3.009	0.099	0.727	0.842
17	7.350	0.040	0.395	0.486
3	7.589	0.020	0.375	0.500
49	2.155	0.086	0.817	0.803
1	9.563	0.005	0.100	0.143
26	2.722	0.060	0.491	0.788
13	5.542	0.129	0.542	0.813
59	1.160	0.105	0.819	0.952
38	5.237	0.064	0.559	0.809
38	2.725	0.066	0.704	0.717
40	2.472	0.079	0.714	0.870
34	3.293	0.057	0.548	0.694
49	1.771	0.086	0.628	0.803
52	3.437	0.088	0.605	0.776
13	6.275	0.058	0.406	0.619
7	2.743	0.037	0.500	0.500
20	1.354	0.108	0.769	0.952
19	3.524	0.077	0.475	0.792
19	3.614	0.048	0.528	0.594
21	3.710	0.077	0.457	0.656
16	3.748	0.050	0.571	0.727
8	5.258	0.026	0.286	0.400
11	4.767	0.049	0.440	0.611
11	4.854	0.046	0.423	0.500
12	5.559	0.051	0.400	0.500
12	8.253	0.053	0.444	0.522
7	8.102	0.066	0.438	0.500
16	3.519	0.063	0.348	0.571
20	2.394	0.052	0.714	0.769
13	3.639	0.057	0.406	0.619
12	4.449	0.050	0.387	0.571
16	4.468	0.060	0.471	0.842
15	2.946	0.069	0.484	0.714
15	5.319	0.073	0.405	0.652
9	5.169	0.040	0.333	0.529
10	2.519	0.058	0.588	0.833
22	3.345	0.042	0.458	0.688
15	5.764	0.132	0.652	0.789
10	7.882	0.038	0.455	0.714
14	5.643	0.055	0.412	0.636
7	6.992	0.036	0.292	0.583
20	2.135	0.057	0.667	0.769
25	1.856	0.115	0.806	0.893
6	9.851	0.027	0.171	0.286
17	2.679	0.073	0.630	0.773
12	4.037	0.050	0.387	0.667
14	3.933	0.057	0.400	0.538
17	3.042	0.080	0.654	0.654
14	5.399	0.095	0.737	0.875
21	3.399	0.109	0.677	0.875
5	6.511	0.021	0.200	0.250
20	5.763	0.072	0.741	0.833
23	3.132	0.098	0.657	0.767
10	5.747	0.040	0.278	0.455
13	4.112	0.061	0.448	0.650
24	1.436	0.099	0.800	0.889
20	2.487	0.083	0.690	0.833
32	1.910	0.121	0.640	0.842
19	3.416	0.091	0.543	0.905
3	5.348	0.016	0.120	0.300
12	5.681	0.050	0.353	0.480
21	3.425	0.085	0.656	0.778
10	6.385	0.047	0.400	0.625
23	2.756	0.079	0.500	0.767
23	3.975	0.073	0.535	0.697
15	5.873	0.064	0.349	0.625
6	5.792	0.030	0.250	0.353
18	3.677	0.091	0.563	0.750
27	4.256	0.082	0.750	0.818
22	6.504	0.156	0.647	0.815
