31	2.723	0.075	0.290	0.939
26	3.011	0.119	0.433	0.963
6	3.316	0.054	0.462	0.857
17	2.718	0.049	0.436	1.000
6	4.592	0.042	0.240	0.750
19	1.342	0.132	0.514	1.000
9	6.898	0.029	0.346	0.818
16	3.788	0.116	0.320	0.941
15	7.597	0.037	0.153	0.469
13	2.061	0.056	0.433	1.000
12	4.470	0.039	0.158	0.667
18	4.106	0.057	0.198	0.783
9	3.887	0.096	0.237	0.818
56	0.489	0.103	0.487	1.000
35	1.936	0.165	0.422	0.972
29	4.229	0.128	0.460	1.000
27	5.557	0.080	0.237	0.818
25	2.737	0.103	0.333	0.926
41	3.193	0.093	0.353	0.911
18	4.126	0.099	0.486	1.000
37	2.502	0.114	0.394	0.974
18	3.021	0.055	0.300	0.947
28	0.982	0.079	0.467	1.000
2	9.535	0.019	0.105	0.667
28	1.899	0.074	0.389	1.000
36	0.470	0.120	0.537	1.000
15	3.875	0.060	0.211	0.750
26	3.710	0.122	0.400	1.000
14	6.086	0.057	0.298	0.824
45	0.419	0.108	0.464	1.000
18	2.124	0.049	0.327	1.000
29	4.425	0.073	0.337	0.744
42	2.657	0.097	0.457	0.977
48	1.041	0.158	0.552	1.000
12	2.058	0.087	0.522	0.923
15	5.937	0.058	0.319	0.789
31	2.092	0.101	0.388	0.969
38	1.230	0.087	0.543	1.000
31	2.664	0.083	0.408	0.939
34	0.938	0.118	0.436	1.000
22	3.407	0.081	0.468	0.917
37	1.685	0.095	0.385	1.000
27	3.580	0.076	0.386	0.900
16	4.500	0.042	0.163	0.667
17	1.813	0.082	0.378	1.000
44	1.776	0.177	0.506	1.000
23	3.203	0.094	0.319	0.958
7	2.157	0.048	0.412	1.000
8	3.267	0.056	0.381	0.889
24	3.888	0.086	0.250	0.828
56	2.222	0.140	0.452	1.000
42	1.604	0.099	0.442	1.000
11	1.667	0.068	0.333	1.000
34	1.039	0.089	0.466	1.000
22	4.064	0.123	0.306	0.880
41	1.629	0.113	0.526	1.000
25	0.988	0.081	0.446	1.000
8	2.890	0.077	0.471	1.000
1	7.416	0.004	0.048	0.200
23	2.714	0.068	0.329	0.958
13	3.244	0.113	0.382	0.929
14	3.678	0.064	0.318	0.933
12	3.193	0.064	0.375	1.000
23	5.884	0.081	0.250	0.852
14	1.612	0.104	0.467	1.000
7	5.714	0.029	0.212	0.636
22	4.111	0.122	0.202	1.000
15	0.997	0.093	0.556	1.000
14	2.041	0.092	0.350	1.000
9	4.007	0.021	0.250	0.818
11	5.663	0.062	0.314	1.000
21	3.867	0.056	0.368	0.913
24	3.321	0.114	0.480	0.960
17	3.546	0.121	0.447	0.895
50	2.626	0.102	0.420	0.943
72	3.346	0.117	0.351	0.911
13	2.167	0.038	0.333	0.929
9	3.673	0.041	0.265	0.900
6	3.137	0.122	0.353	1.000
34	3.969	0.075	0.228	0.756
28	3.562	0.058	0.298	0.875
5	5.003	0.085	0.227	0.833
13	2.801	0.181	0.406	1.000
22	3.951	0.110	0.272	0.957
53	3.136	0.093	0.363	0.855
11	4.822	0.084	0.250	0.611
7	9.933	0.044	0.130	0.500
14	3.641	0.086	0.389	1.000
16	3.899	0.040	0.178	0.727
30	1.852	0.109	0.492	1.000
10	1.944	0.045	0.667	1.000
19	2.206	0.051	0.432	1.000
42	1.202	0.102	0.525	1.000
31	2.831	0.124	0.397	0.939
16	3.028	0.061	0.333	0.941
24	3.039	0.053	0.393	0.857
20	3.774	0.047	0.323	0.909
24	2.649	0.051	0.308	1.000
8	4.820	0.032	0.211	0.889
25	3.388	0.064	0.298	0.962
27	1.981	0.121	0.466	1.000
32	1.136	0.100	0.438	1.000
49	1.081	0.120	0.495	1.000
19	1.683	0.058	0.452	1.000
35	2.091	0.097	0.565	1.000
34	1.517	0.083	0.442	1.000
38	2.508	0.070	0.447	0.950
35	3.277	0.075	0.389	0.972
28	2.393	0.060	0.368	0.966
43	4.101	0.095	0.387	0.956
51	3.004	0.125	0.440	0.962
27	1.967	0.064	0.482	1.000
17	2.654	0.042	0.298	0.810
27	6.166	0.065	0.351	0.900
30	2.922	0.069	0.333	0.811
37	4.237	0.073	0.385	0.949
22	7.011	0.086	0.361	0.917
0	227.682	0.000	0.000	0.000
6	2.055	0.028	0.286	1.000
18	2.127	0.076	0.462	1.000
6	6.943	0.024	0.122	0.600
31	2.567	0.062	0.365	0.939
43	1.658	0.085	0.453	1.000
12	4.076	0.043	0.316	1.000
29	2.936	0.136	0.408	0.967
35	2.212	0.087	0.412	1.000
9	2.212	0.065	0.333	1.000
29	3.050	0.072	0.475	0.935
16	5.323	0.054	0.291	0.889
3	6.891	0.019	0.150	0.600
23	2.297	0.084	0.479	1.000
8	5.597	0.026	0.182	0.364
26	2.075	0.061	0.351	1.000
35	1.971	0.087	0.461	1.000
14	2.021	0.133	0.424	1.000
2	5.111	0.014	0.105	0.667
74	2.527	0.114	0.448	0.987
25	4.081	0.123	0.379	0.833
14	4.970	0.046	0.250	0.778
28	1.478	0.071	0.373	1.000
18	7.512	0.054	0.207	0.783
25	3.781	0.061	0.321	0.806
11	3.064	0.077	0.393	1.000
52	2.019	0.110	0.477	1.000
29	4.079	0.064	0.259	0.806
26	3.769	0.097	0.325	0.929
34	2.729	0.056	0.343	0.944
43	3.085	0.108	0.413	0.977
4	4.601	0.049	0.182	1.000
28	0.987	0.197	0.500	1.000
30	2.092	0.124	0.429	1.000
19	3.689	0.137	0.373	0.950
9	4.128	0.028	0.231	0.818
