2	11.220	0.026	0.400	0.667
0	0.000	0.000	0.000	0.000
3	7.664	0.039	0.375	1.000
5	0.951	0.139	1.000	1.000
0	0.000	0.000	0.000	0.000
0	0.000	0.000	0.000	0.000
0	0.000	0.000	0.000	0.000
2	11.962	0.027	0.400	1.000
6	3.338	0.080	1.000	1.000
4	4.559	0.054	0.400	1.000
5	5.063	0.041	0.417	0.833
0	0.000	0.000	0.000	0.000
5	6.379	0.040	0.417	1.000
4	3.482	0.049	0.364	0.800
0	0.000	0.000	0.000	0.000
7	3.367	0.111	0.500	1.000
9	1.265	0.180	0.900	1.000
5	1.448	0.106	0.833	1.000
8	1.528	0.081	0.727	1.000
2	57.380	0.033	0.400	0.667
8	4.523	0.216	0.667	0.889
16	1.043	0.281	0.842	1.000
13	1.749	0.241	0.765	1.000
0	0.000	0.000	0.000	0.000
14	1.896	0.175	0.778	1.000
0	0.000	0.000	0.000	0.000
13	0.707	0.151	0.722	1.000
12	1.828	0.143	0.923	1.000
10	2.975	0.109	0.588	1.000
20	0.491	0.217	0.870	1.000
0	0.000	0.000	0.000	0.000
9	1.606	0.155	0.818	1.000
10	3.253	0.167	0.769	1.000
6	2.295	0.188	0.750	1.000
13	1.571	0.203	0.650	1.000
0	0.000	0.000	0.000	0.000
6	3.414	0.105	0.667	1.000
5	3.264	0.102	0.714	1.000
0	0.000	0.000	0.000	0.000
3	3.118	0.073	0.600	1.000
0	0.000	0.000	0.000	0.000
8	1.049	0.148	0.889	1.000
0	0.000	0.000	0.000	0.000
0	0.000	0.000	0.000	0.000
7	1.049	0.184	1.000	1.000
15	2.456	0.190	0.833	1.000
7	2.451	0.113	0.583	1.000
4	7.964	0.049	0.444	0.800
9	1.498	0.078	0.750	1.000
7	3.001	0.184	0.778	1.000
9	1.782	0.069	0.643	1.000
14	1.469	0.146	0.609	1.000
14	2.008	0.124	0.778	1.000
16	1.246	0.308	0.941	1.000
13	1.214	0.302	0.867	1.000
19	0.607	0.365	0.704	1.000
0	0.000	0.000	0.000	0.000
7	0.827	0.082	0.778	1.000
4	7.719	0.085	0.667	1.000
5	2.114	0.098	0.625	1.000
0	0.000	0.000	0.000	0.000
0	0.000	0.000	0.000	0.000
0	0.000	0.000	0.000	0.000
0	0.000	0.000	0.000	0.000
0	393.592	0.000	0.000	NaN
5	1.249	0.208	0.833	1.000
3	9.329	0.042	0.600	0.600
1	5.421	0.016	0.200	1.000
6	2.418	0.094	0.667	1.000
6	2.016	0.125	0.750	1.000
6	3.969	0.118	0.857	1.000
1	10.682	0.014	0.200	1.000
18	1.048	0.182	0.692	1.000
3	4.275	0.032	0.300	1.000
8	2.514	0.073	0.667	1.000
11	4.302	0.072	0.550	1.000
0	0.000	0.000	0.000	0.000
14	1.853	0.125	0.778	1.000
0	437.106	0.000	0.000	NaN
3	6.310	0.070	0.500	0.500
14	1.362	0.212	0.737	1.000
16	1.384	0.205	0.889	1.000
4	2.696	0.091	0.667	1.000
9	2.027	0.125	0.600	1.000
0	0.000	0.000	0.000	0.000
0	0.000	0.000	0.000	0.000
