19	6.444	0.048	0.413	0.528
112	1.774	0.178	0.723	0.842
143	2.090	0.135	0.544	0.786
65	3.224	0.077	0.512	0.586
183	3.633	0.155	0.431	0.663
75	2.400	0.112	0.652	0.773
151	2.285	0.152	0.581	0.737
22	2.818	0.063	0.733	0.957
31	4.449	0.042	0.756	0.939
333	1.183	0.337	0.818	0.949
214	2.512	0.184	0.526	0.801
228	1.369	0.231	0.789	0.908
174	3.141	0.175	0.496	0.704
84	1.487	0.118	0.808	0.808
124	1.159	0.130	0.765	0.879
103	2.142	0.100	0.585	0.763
153	2.481	0.176	0.593	0.818
21	7.699	0.031	0.500	0.618
105	1.979	0.124	0.673	0.814
85	2.455	0.088	0.503	0.714
76	3.094	0.076	0.425	0.576
34	4.650	0.069	0.405	0.694
11	2.956	0.042	0.478	0.579
85	1.893	0.102	0.685	0.766
121	2.625	0.145	0.478	0.695
114	2.815	0.103	0.433	0.576
88	1.353	0.105	0.779	0.871
127	3.097	0.138	0.381	0.784
124	0.970	0.163	0.873	0.912
69	2.866	0.079	0.504	0.690
111	3.180	0.129	0.419	0.689
68	4.488	0.071	0.197	0.667
104	2.612	0.121	0.446	0.650
67	3.379	0.081	0.349	0.720
59	3.062	0.058	0.347	0.678
75	2.939	0.121	0.540	0.682
67	2.824	0.100	0.593	0.691
82	3.216	0.079	0.408	0.739
77	3.271	0.081	0.389	0.550
103	3.097	0.099	0.435	0.736
42	2.156	0.052	0.646	0.792
108	1.460	0.139	0.675	0.824
96	1.823	0.104	0.706	0.835
78	2.992	0.114	0.545	0.796
68	2.376	0.098	0.660	0.810
110	2.429	0.201	0.797	0.948
113	1.529	0.137	0.720	0.825
104	1.069	0.152	0.874	0.945
122	3.976	0.133	0.528	0.701
123	0.836	0.153	0.946	0.946
438	1.927	0.396	0.888	0.934
41	2.550	0.070	0.621	0.804
150	1.954	0.171	0.694	0.872
93	1.776	0.124	0.727	0.886
43	3.642	0.054	0.489	0.705
89	2.892	0.139	0.560	0.754
107	1.972	0.119	0.641	0.849
93	3.165	0.104	0.508	0.679
94	2.499	0.100	0.543	0.681
82	1.880	0.092	0.672	0.812
41	1.155	0.076	0.820	0.837
16	3.101	0.060	0.552	0.727
131	2.134	0.123	0.544	0.712
64	2.837	0.091	0.438	0.640
60	1.961	0.179	0.741	0.845
185	2.349	0.197	0.593	0.856
39	2.443	0.072	0.574	0.619
202	1.930	0.272	0.786	0.894
31	4.319	0.032	0.142	0.356
119	4.306	0.120	0.304	0.688
86	2.020	0.108	0.723	0.860
74	3.508	0.080	0.301	0.667
55	1.873	0.064	0.604	0.797
81	3.344	0.105	0.357	0.686
230	1.658	0.230	0.782	0.875
66	3.665	0.072	0.275	0.653
45	3.962	0.045	0.213	0.464
86	2.158	0.126	0.717	0.851
53	1.861	0.091	0.736	0.930
45	3.178	0.057	0.479	0.714
62	1.097	0.144	0.886	0.969
113	2.141	0.129	0.774	0.869
63	2.617	0.060	0.521	0.663
69	3.323	0.067	0.294	0.719
39	4.759	0.041	0.140	0.364
57	4.568	0.050	0.125	0.483
22	4.348	0.023	0.109	0.400
33	3.553	0.035	0.243	0.508
159	2.613	0.153	0.511	0.729
163	2.332	0.174	0.773	0.886
178	3.627	0.151	0.447	0.739
90	1.647	0.148	0.692	0.833
39	2.820	0.047	0.459	0.520
90	3.249	0.137	0.638	0.789
104	3.145	0.118	0.748	0.813
136	2.008	0.146	0.670	0.829
149	2.322	0.161	0.582	0.776
91	3.289	0.098	0.397	0.532
74	4.232	0.134	0.638	0.841
84	2.674	0.084	0.480	0.764
115	3.214	0.131	0.518	0.742
138	4.058	0.143	0.545	0.821
258	2.125	0.234	0.607	0.806
62	4.207	0.084	0.352	0.579
47	2.754	0.073	0.540	0.770
63	3.121	0.084	0.573	0.750
81	1.311	0.129	0.844	0.964
168	1.822	0.160	0.654	0.757
84	1.879	0.097	0.706	0.816
65	0.875	0.109	0.813	0.867
87	2.173	0.099	0.584	0.837
138	0.227	0.268	0.965	0.972
159	1.842	0.183	0.787	0.820
62	1.898	0.063	0.674	0.795
128	3.114	0.100	0.352	0.561
15	9.171	0.017	0.146	0.143
184	1.612	0.229	0.793	0.852
186	2.496	0.206	0.614	0.788
196	2.199	0.184	0.636	0.757
95	2.626	0.101	0.497	0.720
85	1.703	0.162	0.739	0.850
106	2.135	0.157	0.627	0.883
119	2.776	0.117	0.459	0.713
65	1.443	0.082	0.867	0.929
74	1.529	0.092	0.831	0.892
65	1.198	0.128	0.890	0.890
102	0.946	0.111	0.872	0.903
85	1.495	0.137	0.825	0.885
45	2.992	0.068	0.402	0.672
173	1.913	0.194	0.759	0.869
164	1.624	0.180	0.837	0.886
62	3.345	0.071	0.747	0.827
175	0.979	0.185	0.841	0.893
78	2.081	0.104	0.703	0.839
125	2.071	0.174	0.702	0.845
72	2.480	0.089	0.605	0.742
40	2.381	0.097	0.606	0.784
41	2.505	0.057	0.494	0.641
47	1.770	0.099	0.681	0.810
114	2.304	0.142	0.616	0.820
139	2.077	0.187	0.668	0.842
313	1.246	0.323	0.897	0.932
56	1.648	0.113	0.709	0.800
265	1.707	0.250	0.676	0.782
16	4.694	0.032	0.533	0.842
133	3.359	0.166	0.487	0.689
144	3.081	0.139	0.411	0.709
153	2.406	0.144	0.632	0.814
93	2.486	0.110	0.581	0.769
224	1.392	0.211	0.752	0.878
159	2.197	0.160	0.743	0.855
158	3.498	0.133	0.454	0.664
217	3.227	0.194	0.664	0.810
97	2.536	0.096	0.495	0.647
110	0.848	0.125	0.815	0.840
33	1.791	0.055	0.733	0.917
35	2.667	0.049	0.422	0.574
79	3.504	0.084	0.275	0.669
159	2.481	0.169	0.685	0.832
83	2.277	0.113	0.565	0.856
245	2.353	0.215	0.562	0.848
129	2.921	0.148	0.648	0.796
33	3.441	0.046	0.471	0.516
30	2.396	0.044	0.652	0.769
190	1.678	0.179	0.731	0.830
122	1.901	0.142	0.731	0.819
160	1.715	0.203	0.731	0.829
207	3.660	0.200	0.635	0.775
222	1.241	0.277	0.892	0.925
188	1.672	0.204	0.707	0.891
176	2.151	0.168	0.629	0.819
134	4.348	0.178	0.802	0.887
102	1.175	0.148	0.857	0.903
194	1.723	0.209	0.719	0.866
278	1.945	0.237	0.616	0.801
341	2.043	0.313	0.741	0.863
179	1.818	0.186	0.661	0.825
61	2.285	0.091	0.663	0.753
189	2.414	0.232	0.594	0.791
118	1.629	0.216	0.756	0.868
119	2.999	0.133	0.444	0.704
69	3.790	0.071	0.228	0.585
177	3.210	0.211	0.628	0.816
250	1.729	0.254	0.716	0.822
136	3.704	0.124	0.350	0.618
97	1.300	0.197	0.808	0.890
198	3.623	0.150	0.267	0.832
205	1.767	0.276	0.837	0.919
252	1.637	0.290	0.768	0.881
222	3.168	0.201	0.412	0.790
329	1.936	0.294	0.684	0.861
289	2.122	0.288	0.763	0.870
101	2.674	0.116	0.697	0.795
91	1.698	0.103	0.734	0.858
272	1.765	0.271	0.708	0.886
165	2.468	0.181	0.609	0.892
168	1.900	0.223	0.703	0.866
27	1.919	0.083	0.750	0.900
244	2.228	0.228	0.656	0.841
140	1.849	0.205	0.614	0.749
75	2.813	0.123	0.714	0.798
257	2.561	0.243	0.550	0.765
27	0.842	0.048	0.964	0.931
59	1.540	0.116	0.855	0.894
65	1.159	0.164	0.844	0.929
61	2.723	0.069	0.430	0.709
14	3.662	0.025	0.500	0.700
11	3.714	0.016	0.297	0.440
32	3.207	0.034	0.323	0.552
45	2.966	0.053	0.425	0.506
4	3.861	0.011	0.211	0.400
54	2.735	0.064	0.491	0.701
120	2.186	0.168	0.723	0.902
132	2.193	0.148	0.620	0.841
151	2.228	0.177	0.627	0.868
14	3.230	0.027	0.424	0.636
52	2.150	0.077	0.712	0.788
53	2.226	0.065	0.639	0.716
157	3.525	0.159	0.516	0.758
80	2.240	0.102	0.602	0.714
111	2.764	0.104	0.444	0.620
71	2.290	0.157	0.689	0.807
133	2.161	0.142	0.643	0.756
82	2.100	0.101	0.651	0.683
106	2.825	0.105	0.467	0.731
115	1.953	0.120	0.719	0.852
102	2.284	0.145	0.626	0.803
30	2.046	0.046	0.667	0.909
70	2.652	0.105	0.530	0.667
119	2.086	0.140	0.607	0.717
53	2.619	0.091	0.510	0.746
60	4.231	0.081	0.476	0.769
134	1.924	0.146	0.744	0.876
68	2.072	0.148	0.708	0.872
138	2.825	0.157	0.523	0.852
