47	416	51	448
50	452	56	484
65	431	70	465
65	405	68	437
67	402	69	433
69	428	74	459
83	505	95	535
100	564	120	590
103	402	105	431
108	651	138	677
109	533	126	559
110	585	133	612
114	516	127	543
111	598	135	625
112	413	117	440
116	517	131	543
118	522	131	549
118	398	119	423
119	569	138	596
119	518	134	542
120	574	140	599
121	586	143	611
122	391	123	416
122	574	142	598
123	576	145	600
125	681	157	706
141	641	168	664
143	555	161	578
144	531	161	553
148	681	180	703
154	550	171	573
152	553	171	576
160	677	191	697
162	669	191	690
164	232	149	254
164	236	149	258
168	548	184	569
171	227	156	247
176	98	145	120
180	84	148	105
179	686	211	704
181	116	153	137
182	98	152	118
198	687	230	704
199	118	172	138
200	160	176	178
201	122	174	141
204	118	175	136
205	272	193	289
207	122	179	140
219	87	187	104
220	138	193	154
231	154	206	168
230	167	208	182
233	134	206	150
232	147	208	162
251	680	281	692
302	681	332	686
311	694	344	698
311	699	345	704
315	553	332	558
315	682	346	687
319	566	338	572
321	569	339	574
330	532	345	537
335	184	313	190
335	190	314	195
338	544	353	545
338	549	355	552
338	589	360	590
345	267	330	270
343	291	334	293
348	259	332	262
348	231	330	233
349	252	333	254
352	165	327	167
353	191	331	194
353	199	332	200
351	214	334	217
353	227	337	229
358	548	376	549
378	253	363	254
422	268	409	262
435	271	422	266
440	554	456	546
446	267	432	260
447	300	437	290
449	269	435	261
449	256	435	248
452	672	480	661
455	127	427	120
455	555	472	545
456	689	488	679
457	704	489	692
464	589	483	579
466	138	439	130
470	290	458	280
469	530	483	520
468	567	487	556
470	581	488	568
471	302	461	290
471	550	488	537
474	550	490	538
475	527	490	515
478	267	463	257
476	512	489	499
480	438	484	426
481	428	485	416
484	246	467	235
484	243	468	231
487	138	460	128
490	132	461	122
492	522	504	507
490	527	505	514
491	507	503	492
492	96	461	83
495	352	489	338
496	504	507	490
505	544	520	530
507	523	520	509
511	551	526	536
511	553	526	538
512	348	506	334
518	524	530	509
526	542	541	527
529	548	545	529
531	551	547	534
537	493	546	476
535	548	552	530
539	549	556	531
544	546	558	526
545	553	561	534
546	495	556	477
544	550	562	530
547	521	560	501
548	511	560	492
553	526	565	505
556	545	570	524
553	554	571	533
560	540	573	519
