94	3.174	0.043	0.540	0.686
166	1.405	0.080	0.802	0.830
150	1.636	0.051	0.704	0.811
67	4.614	0.036	0.406	0.450
98	2.137	0.038	0.715	0.742
128	1.971	0.056	0.692	0.688
66	3.010	0.035	0.688	0.710
76	2.953	0.030	0.422	0.514
142	1.508	0.062	0.763	0.830
70	3.649	0.030	0.422	0.493
50	2.970	0.019	0.382	0.556
122	3.019	0.041	0.557	0.709
87	1.329	0.046	0.719	0.791
112	1.664	0.049	0.747	0.882
61	2.853	0.029	0.535	0.545
201	1.385	0.094	0.878	0.897
153	1.455	0.068	0.836	0.810
52	4.257	0.028	0.391	0.531
100	3.013	0.047	0.719	0.862
146	2.109	0.068	0.749	0.772
177	0.992	0.095	0.872	0.881
116	2.337	0.071	0.758	0.835
120	2.383	0.068	0.686	0.816
114	2.458	0.053	0.851	0.857
68	4.177	0.037	0.586	0.667
76	2.540	0.033	0.710	0.809
154	1.805	0.066	0.774	0.842
195	0.895	0.080	0.878	0.929
119	3.282	0.050	0.696	0.815
169	1.654	0.071	0.768	0.849
137	1.753	0.063	0.895	0.938
66	1.296	0.036	0.868	0.846
91	1.742	0.048	0.734	0.820
31	4.487	0.014	0.316	0.408
159	1.027	0.064	0.855	0.841
66	4.447	0.034	0.653	0.767
159	1.067	0.072	0.898	0.893
104	2.577	0.044	0.707	0.825
93	2.397	0.045	0.782	0.795
100	5.427	0.036	0.592	0.613
91	4.510	0.033	0.503	0.669
200	2.080	0.083	0.837	0.909
150	1.626	0.068	0.670	0.806
69	2.268	0.029	0.531	0.670
87	2.749	0.045	0.540	0.770
157	1.819	0.079	0.638	0.748
159	1.851	0.066	0.791	0.846
115	1.249	0.063	0.858	0.935
140	1.064	0.063	0.824	0.805
49	0.891	0.033	0.817	0.942
139	0.824	0.057	0.869	0.885
57	2.547	0.020	0.479	0.576
93	3.095	0.037	0.433	0.541
136	1.958	0.055	0.829	0.810
141	0.418	0.057	0.922	0.934
142	1.672	0.049	0.657	0.793
98	1.580	0.063	0.907	0.907
102	1.773	0.041	0.791	0.816
133	1.714	0.053	0.792	0.811
159	1.489	0.067	0.914	0.946
88	1.636	0.046	0.765	0.800
88	0.687	0.048	0.889	0.871
62	4.082	0.031	0.530	0.569
73	2.079	0.035	0.646	0.695
95	2.155	0.042	0.748	0.736
113	1.561	0.046	0.724	0.774
